spot-key,action,trials,wins,losses,ev-bb
dominated-offsuit-broadway-out-of-position,call,1,1,0,15.062
dominated-offsuit-broadway-out-of-position,fold,1,0,0,0.000
dominated-offsuit-broadway-out-of-position,raise,1,1,0,15.062
preflop-ace-x,fold,1,0,1,-2.125
preflop-ace-x,raise,1,0,1,-2.125
preflop-other,call,4,2,2,8.438
preflop-other,fold,11,0,4,-13.938
preflop-other,raise,3,1,2,-19.875
street-flop-texture-paired-hand-one-pair-position-early-pressure-none,call,2,0,2,-5.500
street-flop-texture-paired-hand-two-pair-position-middle-pressure-open,raise,1,1,0,2.750
street-flop-texture-wet-hand-high-card-position-middle-pressure-medium,raise,1,0,1,-15.438
street-flop-texture-wet-hand-one-pair-position-late-pressure-medium,raise,1,1,0,8.000
street-flop-texture-wet-hand-one-pair-position-middle-pressure-none,call,4,2,2,16.875
street-river-texture-wet-hand-high-card-position-middle-pressure-medium,raise,1,0,1,-15.438
street-river-texture-wet-hand-one-pair-position-middle-pressure-fold,fold,1,0,1,-7.500
street-river-texture-wet-hand-one-pair-position-middle-pressure-medium,raise,1,0,1,-7.500
street-river-texture-wet-hand-one-pair-position-middle-pressure-none,call,2,2,0,31.875
street-river-texture-wet-hand-straight-position-late-pressure-large,raise,1,1,0,8.000
street-turn-texture-wet-hand-high-card-position-middle-pressure-large,raise,1,0,1,-15.438
street-turn-texture-wet-hand-one-pair-position-early-pressure-fold,fold,1,0,1,-2.750
street-turn-texture-wet-hand-one-pair-position-early-pressure-none,call,1,0,1,-2.750
street-turn-texture-wet-hand-one-pair-position-late-pressure-none,call,1,1,0,8.000
street-turn-texture-wet-hand-one-pair-position-middle-pressure-none,call,3,2,1,24.375
street-turn-texture-wet-hand-two-pair-position-middle-pressure-large,raise,1,1,0,2.750
